runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,nERR-IA@5,nERR-IA@10,nERR-IA@20,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,strec@5,strec@10,strec@20
indri,1,0.484115,0.480955,0.480898,0.621359,0.612748,0.612594,0.439036,0.433175,0.433026,0.538872,0.524359,0.523995,0.500000,0.657534,0.008282,0.133333,0.066667,0.033333,0.666667,0.666667,0.666667
indri,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
indri,3,0.121029,0.120239,0.120225,0.166205,0.164428,0.164301,0.138500,0.136652,0.136605,0.183251,0.179394,0.178989,0.125000,0.176500,0.001449,0.066667,0.033333,0.016667,0.333333,0.333333,0.333333
indri,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
indri,5,0.121029,0.139611,0.161453,0.242915,0.267355,0.307195,0.138500,0.184903,0.245235,0.248427,0.304114,0.396691,0.125854,0.271071,0.041661,0.066667,0.100000,0.066667,0.333333,0.333333,0.666667
indri,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
indri,7,0.000000,0.030060,0.030056,0.000000,0.040099,0.040099,0.000000,0.068326,0.068302,0.000000,0.089044,0.089044,0.001953,0.002620,0.011310,0.000000,0.033333,0.016667,0.000000,0.333333,0.333333
indri,8,0.290469,0.299649,0.320089,0.471166,0.471045,0.501160,0.300359,0.320816,0.394170,0.454817,0.457191,0.555621,0.288130,0.488023,0.022172,0.150000,0.175000,0.137500,0.500000,0.500000,0.750000
indri,9,0.000000,0.014429,0.014427,0.000000,0.022089,0.022062,0.000000,0.037565,0.037552,0.000000,0.054338,0.054154,0.000293,0.000471,0.000140,0.000000,0.020000,0.010000,0.000000,0.200000,0.200000
indri,10,0.453858,0.450896,0.450842,0.599401,0.582594,0.581735,0.433153,0.427370,0.427223,0.555409,0.524554,0.522383,0.468750,0.624168,0.011951,0.200000,0.100000,0.050000,0.500000,0.500000,0.500000
indri,11,0.166667,0.166667,0.166667,0.284057,0.269008,0.265361,0.166667,0.166667,0.166667,0.268211,0.240818,0.231918,0.166667,0.294061,0.028178,0.166667,0.166667,0.158333,0.166667,0.166667,0.166667
indri,12,0.465204,0.477748,0.478682,0.583491,0.590811,0.590944,0.450879,0.479176,0.482015,0.549902,0.567972,0.568474,0.476026,0.609102,0.013599,0.250000,0.275000,0.187500,0.500000,0.500000,0.500000
indri,13,0.060514,0.078155,0.078146,0.152672,0.179834,0.177723,0.082319,0.128176,0.128132,0.181486,0.239833,0.233027,0.047241,0.130341,0.022917,0.050000,0.050000,0.025000,0.250000,0.500000,0.500000
indri,14,0.644478,0.642777,0.644325,0.787431,0.784251,0.786102,0.613714,0.611634,0.616196,0.734669,0.730337,0.735678,0.659284,0.811427,0.265088,0.300000,0.175000,0.125000,0.750000,0.750000,0.750000
indri,15,0.450227,0.452442,0.467143,0.577192,0.561401,0.576589,0.420609,0.425823,0.466444,0.535556,0.506121,0.546161,0.455438,0.589567,0.050624,0.160000,0.100000,0.080000,0.600000,0.600000,0.600000
indri,16,0.272315,0.306323,0.306286,0.490463,0.515120,0.507435,0.268514,0.343526,0.343408,0.460754,0.514438,0.493544,0.284546,0.528619,0.049202,0.100000,0.100000,0.050000,0.500000,0.750000,0.750000
indri,17,0.121029,0.174489,0.182614,0.170213,0.237606,0.247024,0.164639,0.288260,0.317586,0.224406,0.367788,0.397440,0.098209,0.141156,0.054557,0.100000,0.150000,0.108333,0.500000,0.833333,0.833333
indri,18,0.498033,0.523608,0.530307,0.575927,0.597419,0.604000,0.558033,0.612881,0.634086,0.630593,0.673853,0.693654,0.448216,0.523951,0.069193,0.440000,0.400000,0.370000,1.000000,1.000000,1.000000
